"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Cutenspoiled LLC (Fair)","10 X 10","","COMMERCIAL026","Vendor","OTHER","Commercial Building","COM-26","Page 19","Cute N Spoiled",432,445,"Tutus, Tutu Dresses, Children Necklaces, Purses, Capes, Hair Bows, Headbands, Leg Warmers, Bloomers, Rompers, Dresses, Shirts, Smocked Outfits, Snap Jewelry  & Teething Beads.","","","","",35.795013,-78.70738
"","","Cutenspoiled LLC (Fair)","10 X 10","","COMMERCIAL025","Vendor","OTHER","Commercial Building","COM-25","Page 19","Cute N Spoiled",433,446,"Tutus, Tutu Dresses, Children Necklaces, Purses, Capes, Hair Bows, Headbands, Leg Warmers, Bloomers, Rompers, Dresses, Shirts, Smocked Outfits, Snap Jewelry  & Teething Beads.","","","","",35.795001,-78.70741
"","","Miss Debbies Specialty Apples","10 X 10","","COMMERCIAL024","Vendor","F&D","Commercial Building","COM-24","Page 19","Miss Debbies",434,447,"Specialty Apples & Fudge","","","","",35.794989,-78.70744
"","","Miss Debbies Specialty Apples","10 X 10","","COMMERCIAL022","Vendor","F&D","Commercial Building","COM-22","Page 19","Miss Debbies",435,448,"Specialty Apples & Fudge","","","","",35.794964,-78.707501
"","","Miss Debbies Specialty Apples","10 X 10","","COMMERCIAL023","Vendor","F&D","Commercial Building","COM-23","Page 19","Miss Debbies",436,449,"Specialty Apples & Fudge","","","","",35.794977,-78.707471
"","","NC Division Sons Of Confederate Veterans","10 X 10","","EDUCATION045","Vendor","OTHER","Education Building","ED-45","Page 18","Sons Of Conf. Vets.",437,450,"Information On Confederate Veterans - No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate.","","","","",35.794426,-78.708289
"","","Heidi Jos Jerky","10 X 10","","EDUCATION054","Vendor","F&D","Education Building","ED-54","Page 18","Heidi Jo's Jerky",438,451,"Beef, Turkey Jerky, Buffalo, Venison, Elk Sticks, Hot Sauces, Mixes, Spices & Marinades","","","","",35.794493,-78.708565
"","","Heidi Jos Jerky","10 X 10","","EDUCATION055","Vendor","F&D","Education Building","ED-55","Page 18","Heidi Jo's Jerky",439,452,"Beef, Turkey Jerky, Buffalo, Venison, Elk Sticks, Hot Sauces, Mixed, Spices & Marinades","","","","",35.794466,-78.708548
"","","Careco LLC","10 X 10","","EDUCATION053","Vendor","OTHER","Education Building","ED-53","Page 18","Careco LLC",440,453,"Shoe Care Products (Will Clean Both Shoes For Free )","","","","",35.79442,-78.70852
"","","County Fair Exhibit","10 X 10","","EDUCATION051","Vendor","OTHER","Education Building","ED-51","Page 18","County Fair",441,454,"Promote Interest In The Agricultural Fairs In Nc","","","","",35.794503,-78.7081
"","","County Fair Exhibit","10 X 10","","EDUCATION052","Vendor","OTHER","Education Building","ED-52","Page 18","County Fair",442,455,"Promote Interest In The Agricultural Fairs In Nc","","","","",35.794516,-78.708069
"","","Raleigh Police Department","","","SCOTT061","Vendor","OTHER","Scott Building","SCOTT-61","Page 20","Raleigh Pd",443,456,"Gratis Space For Promotion","","","","",35.796128,-78.707892
"","","Raleigh Police Department","","","SCOTT062","Vendor","OTHER","Scott Building","SCOTT-62","Page 20","Raleigh Pd",444,457,"Gratis Space For Promotion","","","","",35.796152,-78.707907
"","","Biz-Zee Products","","","SCOTT063","Vendor","OTHER","Scott Building","SCOTT-63","Page 20","Biz=Zee Products",445,458,"Cookware","","","","",35.796177,-78.707921
"","","Artography Central","","","SCOTT064","Vendor","OTHER","Scott Building","SCOTT-64","Page 20","Artography Central",446,459,"Canvas Prints Matted Photos, Photographs Note Cards, Prints On Metal Wood Art Papers, Fine Art Featuring NC State Fair And NC Photos; Abstracts. 1 Year Only Contract.","","","","",35.796201,-78.707935
"","","4 Fosters Candle Company, LLC","","","SCOTT065","Vendor","OTHER","Scott Building","SCOTT-65","Page 20","4 Fosters",447,460,"Hand Poured Candles/Wax Melts, Wax Melt Warmers & Christian T-Shirts.","","","","",35.796225,-78.707949
"","","4 Fosters Candle Company, LLC","","","SCOTT066","Vendor","OTHER","Scott Building","SCOTT-66","Page 20","4 Fosters",448,461,"Hand Poured Candles/Wax Melts, Wax Melt Warmers & Christian T-Shirts.","","","","",35.79625,-78.707964
"","","NC DOJ - Attorney General's Office","","","SCOTT067","Vendor","OTHER","Scott Building","SCOTT-67","Page 20","NC DOJ",449,462,"Internet Safety, Scams & Frauds, Report Animal Cruelty, Student Loan Tips, Preventing Dv/Sa
","","","","",35.796274,-78.707978
"","","NC State Board Of Elections","","","SCOTT068","Vendor","OTHER","Scott Building","SCOTT-68","Page 20","Board Of Elections",450,463,"Voter Registration Materials, Palm Cards & Flyers - 1 Year Only","","","","",35.796299,-78.707992
"","","FEMA","","","SCOTT069","Vendor","OTHER","Scott Building","SCOTT-69","Page 20","FEMA",451,464,"Educate The Attendees About FEMA Mitigation Ideas, Including Preparedness, Rebuilding Safer And Stronger Before & After A Disaster, How To Select A Contractor, And Information About Flood Insurance.","","","","",35.796323,-78.708007
"","","Deep South Barrels","","","SCOTT070","Vendor","OTHER","Scott Building","SCOTT-70","Page 20","Deep South Barrels",452,465,"Oak Aging Barrels, Signs, Flask & Coasters. - No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate. 1 Year Only Contract","","","","",35.796348,-78.708021
"","","Deep South Barrels","","","SCOTT071","Vendor","OTHER","Scott Building","SCOTT-71","Page 20","Deep South Barrels",453,466,"Oak Aging Barrels, Signs, Flask & Coasters. - No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate. 1 Year Only Contract","","","","",35.796372,-78.708035
"","","Deep South Barrels","","","SCOTT072","Vendor","OTHER","Scott Building","SCOTT-72","Page 20","Deep South Barrels",454,467,"Oak Aging Barrels, Signs, Flask & Coasters. - No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate. 1 Year Only Contract","","","","",35.796396,-78.708049
"","","Be Charmed","","","SCOTT049","Vendor","OTHER","Scott Building","SCOTT-49","Page 20","Be Charmed",455,468,"Charms For Key Chains, Book Bag Tags, Luggage Tags, Bracelets, Necklaces, Lockets, Pet Collars, Name Badges & Lanyards. ","","","","",35.796105,-78.707952
"","","Be Charmed","","","SCOTT050","Vendor","OTHER","Scott Building","SCOTT-50","Page 20","Be Charmed",456,469,"Knapbag - Chair","","","","",35.796129,-78.707967
"","","Edward Jones Investments (Fair)","","","SCOTT051","Vendor","OTHER","Scott Building","SCOTT-51","Page 20","Edward Jones",457,470,"Edward Jones Investments - 1 Year Only","","","","",35.796153,-78.707981
"","","Salt Soothers","","","SCOTT052","Vendor","OTHER","Scott Building","SCOTT-52","Page 20","Salt Soothers",458,471,"Pure Dead Sea Salt Body Scrubs, Pure Pacific Sea Spa Soaking Salts & Pure Dead Sea Pacific Sea Bath Bombs. (9 Scents & 2 Sizes With Multi Colors).","","","","",35.796178,-78.707995
"","","Salus Saunas","","","SCOTT053","Vendor","OTHER","Scott Building","SCOTT-53","Page 20","Salus Saunas",459,472,"Salus/Infrared Saunas- 1 Year Only","","","","",35.796202,-78.708009
"","","Salus Saunas","","","SCOTT054","Vendor","OTHER","Scott Building","SCOTT-54","Page 20","Salus Saunas",460,473,"Salus/Infrared Saunas - 1 Year Only","","","","",35.796227,-78.708024
"","","Festival Quilts","","","SCOTT055","Vendor","OTHER","Scott Building","SCOTT-55","Page 20","Fest. Quilts",461,474,"Quilts (Cotton), Quilted Throws, Quilted Table Runners And Placemats, Sherpa Blankets & Sherpa Throws.","","","","",35.796251,-78.708038
"","","Festival Quilts","","","SCOTT056","Vendor","OTHER","Scott Building","SCOTT-56","Page 20","Fest. Quilts",462,475,"Quilts (Cotton), Quilted Throws, Quilted Table Runners And Placemats, Sherpa Blankets & Sherpa Throws.","","","","",35.796276,-78.708052
"","","Wake County Sheriffs Office","","","SCOTT057","Vendor","OTHER","Scott Building","SCOTT-57","Page 20","Wake Co",463,476,"Gratis Space For Promotion","","","","",35.7963,-78.708067
"","","Wake County Sheriffs Office","","","SCOTT058","Vendor","OTHER","Scott Building","SCOTT-58","Page 20","Wake Co",464,477,"Gratis Space For Promotion","","","","",35.796324,-78.708081
"","","NC Dept Of Labor","","","SCOTT059","Vendor","OTHER","Scott Building","SCOTT-59","Page 20","NC Dep Labor",465,478,"Provide Children And Adults Information About Rider Safety At The Fair, Printed Card Or Stickers So They Measure Up To The Correct Ride For Their Size.  Give Safety Cards For Generator, Carbon Monoxide, Chain Saw Safety And Teen Workers.  All Information Is Printed In English & Spanish.  They Will Give Away Note Pads. - Gratis Location.","","","","",35.796349,-78.708095
"","","Wong, Mike","","","SCOTT060","Vendor","OTHER","Scott Building","SCOTT-60","Page 20","Mike Wong",466,479,"Hand Crafted Linens","","","","",35.796373,-78.708109
"","","Lu Mil Vineyards","","","SCOTT037","Vendor","F&D","Scott Building","SCOTT-37","Page 20","Lu Mil",467,480,"Promote All NC Wineries & Sampling/Selling Of Grape Products (Only).","","","","",35.796093,-78.707982
"","","North Carolina State Bureau Of Investigation","","","SCOTT038","Vendor","OTHER","Scott Building","SCOTT-38","Page 20","NC Sbi",468,481,"Promoting Sbi, Recruiting Future Le/Lab Agents, Robot Demonstration, Arson Dog, Child Id Kit/Dna Kits","","","","",35.796117,-78.707997
"","","North Carolina State Bureau Of Investigation","","","SCOTT039","Vendor","OTHER","Scott Building","SCOTT-39","Page 20","NC Sbi",469,482,"Promoting Sbi, Recruiting Future Le/Lab Agents, Robot Demonstration, Arson Dog, Child Id Kit/Dna Kits","","","","",35.796142,-78.708011
"","","Tonyas Cookie Co.","","","SCOTT040","Vendor","F&D","Scott Building","SCOTT-40","Page 20","Tonyas Cookie",470,483,"Sweet Potatoe Biscuits, Cheese Straws, Toffee & Coffee. (No Cooking)","","","","",35.796166,-78.708025
"","","The Go Girl Shoppe","","","SCOTT041","Vendor","OTHER","Scott Building","SCOTT-41","Page 20","The Go Girl Shoppe",471,484,"NC Glasses, T-Shirts, Hats, Pillows, NC Necklaces, Tea Towels & NC Home Decor.","","","","",35.796191,-78.708039
"","","Cellular Sales Of NC (Verizon)","","","SCOTT042","Vendor","OTHER","Scott Building","SCOTT-42","Page 20","Cellular Sales Verizon ",472,485,"Verizon Wireless Cellphone Sales - 1 Year Only","","","","",35.796215,-78.708054
"","","Cellular Sales Of NC (Verizon)","","","SCOTT043","Vendor","OTHER","Scott Building","SCOTT-43","Page 20","Cellular Sales Verizon",473,486,"Verizon Wireless Cell Phone Sales - 1 Year Only","","","","",35.796239,-78.708068
"","","20 Th Century Legends","","","SCOTT044","Vendor","OTHER","Scott Building","SCOTT-44","Page 20","20Th",474,487,"Bamboo Products ","","","","",35.796264,-78.708082
